Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
type I DNA topoisomerase	DNA topological change		"metal ion binding // isomerase activity // DNA topoisomerase type I (single strand cut, ATP-independent) activity // DNA topoisomerase activity // DNA binding"	topA		WP_011862458.1	WP_011862458.1		PF01751
hypothetical protein				P9301_RS17560		WP_011863698.1	WP_011863698.1		
chlororespiratory reduction protein 7				P9301_RS09690		WP_011375677.1	WP_011375677.1		PF12095
SDR family oxidoreductase			3-oxo-pimeloyl-[acp] methyl ester reductase activity // 3-oxo-glutaryl-[acp] methyl ester reductase activity // oxidoreductase activity // 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	P9301_RS12760		WP_011862740.1	WP_011862740.1		PF00106
Photosystem II manganese-stabilizing protein PsbO				psbO		WP_041484654.1	WP_041484654.1		PF01716
NAD-dependent DNA ligase	DNA ligation		ligase activity // DNA ligase (NAD+) activity	P9301_RS16465		WP_011863474.1	WP_011863474.1		PF01653
photosystem reaction center subunit H				P9301_RS09425		WP_011862097.1	WP_011862097.1		PF05239
sugar phosphorylase	carbohydrate metabolic process		"hydrolase activity // transferase activity, transferring glycosyl groups // transferase activity // sucrose phosphorylase activity // catalytic activity"	P9301_RS13380		WP_011862867.1	WP_011862867.1		PF00128
isochorismatase family protein			hydrolase activity // catalytic activity	P9301_RS12335		WP_041484671.1	WP_041484671.1		PF00857
Predicted GTPase	ribosome biogenesis		GTP binding // nucleotide binding	P9301_RS11085		WP_011862416.1	WP_011862416.1		PF01926
orotidine-5'-phosphate decarboxylase	'de novo' UMP biosynthetic process // pyrimidine nucleotide biosynthetic process // 'de novo' pyrimidine nucleobase biosynthetic process		carboxy-lyase activity // lyase activity // orotidine-5'-phosphate decarboxylase activity // catalytic activity	pyrF	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	WP_011863442.1	WP_011863442.1		PF00215
DUF3122 domain-containing protein				P9301_RS15970		WP_011863383.1	WP_011863383.1		PF11320
DUF4336 domain-containing protein				P9301_RS12175		WP_011862620.1	WP_011862620.1		PF14234
YCII domain-containing protein				P9301_RS17135		WP_011863622.1	WP_011863622.1		PF03795
DUF21 domain-containing protein		integral component of membrane // membrane		P9301_RS16780		WP_011863555.1	WP_011863555.1		PF01595
4-hydroxy-tetrahydrodipicolinate synthase	diaminopimelate biosynthetic process // lysine biosynthetic process via diaminopimelate // lysine biosynthetic process // cellular amino acid biosynthetic process	cytoplasm	lyase activity // 4-hydroxy-tetrahydrodipicolinate synthase activity // catalytic activity	dapA	L-lysine biosynthesis VI // dipicolinate biosynthesis	WP_011863750.1	WP_011863750.1		PF00701
hypothetical protein				P9301_RS10945		WP_041484659.1	WP_041484659.1		
leucine--tRNA ligase	aminoacyl-tRNA metabolism involved in translational fidelity // leucyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	ligase activity // ATP binding // leucine-tRNA ligase activity // aminoacyl-tRNA ligase activity // aminoacyl-tRNA editing activity // nucleotide binding	leuS	tRNA charging	WP_011862941.1	WP_011862941.1		PF00133
DUF3119 family protein		integral component of membrane // membrane		P9301_RS16280		WP_011863439.1	WP_011863439.1		PF11317
urea ABC transporter permease subunit UrtC	transmembrane transport	integral component of membrane // membrane // plasma membrane	transmembrane transporter activity	urtC		WP_011862856.1	WP_011862856.1		PF02653
hypothetical protein				P9301_RS11320		WP_011862459.1	WP_011862459.1		
16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	methylation // rRNA methylation		methyltransferase activity // nucleic acid binding	rsmD		WP_011863117.1	WP_011863117.1		PF03602
Cysteine synthase				cysK2	L-cysteine biosynthesis I	WP_002805805.1	WP_002805805.1		PF00291
amidophosphoribosyltransferase	nucleoside metabolic process // purine nucleobase biosynthetic process // glutamine metabolic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		"metal ion binding // transferase activity, transferring glycosyl groups // transferase activity // amidophosphoribosyltransferase activity // magnesium ion binding"	purF	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I	WP_011862031.1	WP_011862031.1		PF13522
RIP metalloprotease RseP	proteolysis	integral component of membrane // membrane // plasma membrane	metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity // metalloendopeptidase activity	rseP		WP_011863322.1	WP_011863322.1		PF02163
RluA family pseudouridine synthase	RNA modification // pseudouridine synthesis		isomerase activity // lyase activity // pseudouridine synthase activity // RNA binding	P9301_RS10130		WP_011862238.1	WP_011862238.1		PF01479
SDR family NAD(P)-dependent oxidoreductase			protochlorophyllide reductase activity // oxidoreductase activity	P9301_RS16470		WP_011863475.1	WP_011863475.1		PF00106
"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"	glutamine metabolic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	cytoplasm	ligase activity // hydrolase activity // ATP binding // phosphoribosylformylglycinamidine synthase activity // glutaminase activity // nucleotide binding	purL		WP_011862817.1	WP_011862817.1		PF13507
dihydroorotase	'de novo' UMP biosynthetic process // pyrimidine nucleobase biosynthetic process // pyrimidine nucleotide biosynthetic process		"metal ion binding // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides // hydrolase activity // zinc ion binding // dihydroorotase activity"	pyrC	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	WP_011862585.1	WP_011862585.1		PF01979
iron uptake porin	transmembrane transport // carbohydrate transport	integral component of membrane	porin activity	P9301_RS15520		WP_011863298.1	WP_011863298.1		PF04966
AarF/ABC1/UbiB kinase family protein	phosphorylation // protein phosphorylation	integral component of membrane // membrane	kinase activity // ATP binding // protein kinase activity	P9301_RS14755		WP_011863141.1	WP_011863141.1		PF03109
reactive intermediate/imine deaminase				P9301_RS11940		WP_011862574.1	WP_011862574.1		PF01042
sensor histidine kinase	peptidyl-histidine phosphorylation // phosphorylation // signal transduction // phosphorelay signal transduction system		kinase activity // protein histidine kinase activity // phosphorelay sensor kinase activity	P9301_RS10520		WP_011862309.1	WP_011862309.1		PF02518
hypothetical protein				P9301_RS13910		WP_011862971.1	WP_011862971.1		
divergent PAP2 family protein				P9301_RS14690		WP_041484699.1	WP_041484699.1		PF02681
6-phosphogluconolactonase	pentose-phosphate shunt // carbohydrate metabolic process		6-phosphogluconolactonase activity // hydrolase activity	pgl	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I // Entner-Doudoroff pathway I	WP_011862808.1	WP_011862808.1		PF01182
UDP-N-acetylglucosamine 1-carboxyvinyltransferase	cell wall organization // cell division // UDP-N-acetylgalactosamine biosynthetic process // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle	cytoplasm	"transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity // catalytic activity"	murA	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	WP_011863415.1	WP_011863415.1		PF00275
histidinol-phosphate aminotransferase family protein	biosynthetic process		pyridoxal phosphate binding // transferase activity // transaminase activity // catalytic activity	P9301_RS10095		WP_011862231.1	WP_011862231.1		PF00155
Membrane associated GTPase			GTP binding	P9301_RS16785		WP_011863556.1	WP_011863556.1		PF01926
acylneuraminate cytidylyltransferase family protein				P9301_RS15810		WP_041484714.1	WP_041484714.1		PF02348
lipoyl synthase	protein lipoylation // lipoate biosynthetic process	cytoplasm	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // lipoate synthase activity // sulfurtransferase activity // transferase activity // catalytic activity"	lipA	lipoate biosynthesis and incorporation I	WP_011863623.1	WP_011863623.1		PF04055
DNA-formamidopyrimidine glycosylase	metabolic process // cellular response to DNA damage stimulus // nucleotide-excision repair // base-excision repair // DNA repair		"class I DNA-(apurinic or apyrimidinic site) endonuclease activity // metal ion binding // lyase activity // hydrolase activity, hydrolyzing N-glycosyl compounds // hydrolase activity, acting on glycosyl bonds // hydrolase activity // oxidized purine nucleobase lesion DNA N-glycosylase activity // zinc ion binding // DNA-(apurinic or apyrimidinic site) endonuclease activity // catalytic activity // damaged DNA binding // DNA binding // nucleic acid binding"	P9301_RS10855		WP_011862363.1	WP_011862363.1		PF01149
Possible Fumarate reductase subunit D		integral component of membrane // membrane		P9301_RS15170		WP_011818706.1	WP_011818706.1		
ferredoxin				P9301_RS15370		WP_011863270.1	WP_011863270.1		
aspartate aminotransferase family protein	carboxylic acid metabolic process		pyridoxal phosphate binding // carboxy-lyase activity // lyase activity // catalytic activity	P9301_RS13605		WP_011862913.1	WP_011862913.1		PF00282
Thioredoxin family protein				trxA		WP_041484655.1	WP_041484655.1		PF00085
oxygen-dependent coproporphyrinogen oxidase	chlorophyll biosynthetic process // heme biosynthetic process // protoporphyrinogen IX biosynthetic process // porphyrin-containing compound biosynthetic process	cytoplasm	metal ion binding // protein homodimerization activity // oxidoreductase activity // coproporphyrinogen oxidase activity	hemF	"heme <i>b</i> biosynthesis I (aerobic) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)"	WP_011863684.1	WP_011863684.1		PF01218
UDP-N-acetylmuramate dehydrogenase	cell wall organization // cell division // peptidoglycan biosynthetic process // regulation of cell shape // cell cycle	cytoplasm	FAD binding // flavin adenine dinucleotide binding // oxidoreductase activity // UDP-N-acetylmuramate dehydrogenase activity	murB	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	WP_011862048.1	WP_011862048.1		PF01565
NAD(P)H-quinone oxidoreductase chain 4	ATP synthesis coupled electron transport	thylakoid membrane // integral component of membrane // membrane // thylakoid	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor // NADH dehydrogenase (ubiquinone) activity"	ndhD1		WP_011862195.1	WP_011862195.1		PF00361
prepilin-type cleavage/methylation domain-containing protein		integral component of membrane // membrane		P9301_RS12545		WP_144038816.1	WP_144038816.1		
photosystem II reaction center protein L	photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem II reaction center // photosystem II		psbL	oxygenic photosynthesis // photosynthesis light reactions	WP_002806119.1	WP_002806119.1		PF02419
AAA family ATPase	cellular response to DNA damage stimulus // DNA recombination // DNA repair		ATP binding	P9301_RS18170		WP_011863807.1	WP_011863807.1		PF02463
regulator of FtsH protease				hflC		WP_011817992.1	WP_011817992.1		PF01145
AAA family ATPase	DNA metabolic process		hydrolase activity // exodeoxyribonuclease V activity	P9301_RS14850		WP_011863160.1	WP_011863160.1		PF13604
tryptophan--tRNA ligase	tryptophanyl-tRNA aminoacylation // tRNA aminoacylation for protein translation // translation	cytoplasm	ligase activity // ATP binding // tryptophan-tRNA ligase activity // aminoacyl-tRNA ligase activity // nucleotide binding	trpS	tRNA charging	WP_011862614.1	WP_011862614.1		PF00579
hypothetical protein				P9301_RS11010		WP_032515599.1	WP_032515599.1		
penicillin-binding protein 2		integral component of membrane // membrane	"transferase activity, transferring glycosyl groups // transferase activity // peptidoglycan glycosyltransferase activity // penicillin binding"	P9301_RS11740		WP_011862537.1	WP_011862537.1		PF03717
DUF2232 domain-containing protein		integral component of membrane // membrane		P9301_RS11325		WP_011862460.1	WP_011862460.1		PF09991
3-deoxy-7-phosphoheptulonate synthase	chorismate biosynthetic process // aromatic amino acid family biosynthetic process // biosynthetic process // cellular amino acid biosynthetic process		transferase activity // 3-deoxy-7-phosphoheptulonate synthase activity // catalytic activity	P9301_RS18095	superpathway of L-tryptophan biosynthesis // superpathway of L-tyrosine biosynthesis // chorismate biosynthesis I // 3-dehydroquinate biosynthesis I	WP_011863794.1	WP_011863794.1		PF00793
hypothetical protein				P9301_RS16475		WP_011863476.1	WP_011863476.1		
sulfate permease				sulP1		WP_011862258.1	WP_011862258.1		PF00916
DUF3120 domain-containing protein		integral component of membrane // membrane		P9301_RS09640		WP_011862142.1	WP_011862142.1		PF11318
50S ribosomal protein L3	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplC		WP_011863660.1	WP_011863660.1		PF00297
hypothetical protein		integral component of membrane // membrane		P9301_RS15325		WP_011863260.1	WP_011863260.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14050		WP_011863001.1	WP_011863001.1		
hypothetical protein				P9301_RS15900		WP_011863370.1	WP_011863370.1		
